unip	degree	type
A5YKK6	39.0	"Mendelian
disease"
P57678	11.0	"Mendelian
disease"
Q14683	39.0	"Mendelian
disease"
Q15149	147.99999999999997	"Mendelian
disease"
Q969G3	33.0	"Mendelian
disease"
P30153	105.0	"Mendelian
disease"
Q15021	9.0	"Mendelian
disease"
P49959	38.0	"Mendelian
disease"
A6NHR9	6.999999999999999	"Mendelian
disease"
Q9H267	18.0	"Mendelian
disease"
P35606	18.0	"Mendelian
disease"
Q9UPT5	19.0	"Mendelian
disease"
O75533	119.0	"Mendelian
disease"
Q92888	8.0	"Mendelian
disease"
Q9HD15	22.0	"Mendelian
disease"
P07437	51.0	"Mendelian
disease"
Q9H1A4	34.0	"Mendelian
disease"
O60443	1.0	"Mendelian
disease"
P68371	32.0	"Mendelian
disease"
P08237	23.999999999999996	"Mendelian
disease"
Q70HW3	5.0	"Mendelian
disease"
Q9BTA9	2.9999999999999996	"Mendelian
disease"
O00232	80.0	"Mendelian
disease"
Q9GZZ9	11.0	"Mendelian
disease"
Q14204	33.0	"Mendelian
disease"
Q9H4L7	2.9999999999999996	"Mendelian
disease"
Q6P3W7	8.0	"Mendelian
disease"
Q9UQE7	43.0	"Mendelian
disease"
Q92974	6.999999999999999	"Mendelian
disease"
Q7Z4S6	2.9999999999999996	"Mendelian
disease"
Q6P1J9	22.0	"Mendelian
disease"
P53621	20.0	"Mendelian
disease"
P02545	18.0	"Mendelian
disease"
O60508	93.99999999999999	"Mendelian
disease"
Q8IYB5	2.0	"Mendelian
disease"
P38159	23.999999999999996	"Mendelian
disease"
O15541	41.0	"Mendelian
disease"
P42771	39.0	"Mendelian
disease"
O43929	26.0	"Mendelian
disease"
Q6P2Q9	158.0	"Mendelian
disease"
Q96T58	2.9999999999999996	"Mendelian
disease"
P11388	23.999999999999996	"Mendelian
disease"
Q14764	5.999999999999999	"Mendelian
disease"
Q9HAN9	5.999999999999999	"Mendelian
disease"
P61978	45.0	"Mendelian
disease"
P63162	117.99999999999999	"Mendelian
disease"
P62304	141.0	"Mendelian
disease"
Q16637	33.0	"Mendelian
disease"
Q15637	39.0	"Mendelian
disease"
Q92878	38.0	"Mendelian
disease"
P46459	44.0	"Mendelian
disease"
P19013	2.9999999999999996	"Mendelian
disease"
P14678	120.0	"Mendelian
disease"
Q96LL9	5.0	"Mendelian
disease"
Q15029	184.99999999999997	"Mendelian
disease"
Q9H3U1	16.0	"Mendelian
disease"
Q9H6S3	2.0	"Mendelian
disease"
O95239	4.0	"Mendelian
disease"
P43034	27.999999999999996	"Mendelian
disease"
Q9Y5S9	83.0	"Mendelian
disease"
O60341	70.99999999999999	"Mendelian
disease"
Q9H2P0	4.0	"Mendelian
disease"
P08670	24.999999999999996	"Mendelian
disease"
Q7L590	33.0	"Mendelian
disease"
Q8N201	29.0	"Mendelian
disease"
Q9HCK8	17.0	"Mendelian
disease"
Q9BSJ2	23.0	"Mendelian
disease"
Q13415	34.0	"Mendelian
disease"
Q9Y2G2	5.999999999999999	"Mendelian
disease"
Q13813	35.0	"Mendelian
disease"
Q13885	40.0	"Mendelian
disease"
P17980	75.0	"Mendelian
disease"
P41212	10.0	"Mendelian
disease"
P10809	33.0	"Mendelian
disease"
Q9Y3C6	57.0	"Mendelian
disease"
P50570	32.0	"Mendelian
disease"
P61011	137.0	"Mendelian
disease"
P11413	27.999999999999996	"Mendelian
disease"
O43561	27.999999999999996	"Mendelian
disease"
Q9Y6D9	13.0	"Mendelian
disease"
Q6NUK1	9.0	"Mendelian
disease"
O60231	58.99999999999999	"Mendelian
disease"
Q96GM5	42.0	"Mendelian
disease"
Q96LT9	66.0	"Mendelian
disease"
Q8NA29	1.0	"Mendelian
disease"
P28340	22.0	"Mendelian
disease"
Q92804	10.0	"Mendelian
disease"
Q9H2I8	82.0	"Mendelian
disease"
O00429	10.0	"Mendelian
disease"
P51532	99.99999999999999	"Mendelian
disease"
P15924	8.0	"Mendelian
disease"
Q14980	13.0	"Mendelian
disease"
Q9BZK7	20.0	"Mendelian
disease"
Q6UX04	46.99999999999999	"Mendelian
disease"
Q8WU79	10.0	"Mendelian
disease"
Q8N5F7	30.0	"Mendelian
disease"
Q9BWD1	13.999999999999998	"Mendelian
disease"
P31483	13.0	"Mendelian
disease"
P07339	13.999999999999998	"Mendelian
disease"
P05091	10.0	"Mendelian
disease"
Q00796	15.0	"Mendelian
disease"
Q9Y281	23.0	"Mendelian
disease"
P30038	11.0	"Mendelian
disease"
P40925	16.0	"Mendelian
disease"
O14653	17.0	"Mendelian
disease"
Q9UPM8	9.0	"Mendelian
disease"
P06748	36.0	"Mendelian
disease"
P06213	57.0	"Mendelian
disease"
Q86SX6	6.999999999999999	"Mendelian
disease"
Q13393	11.999999999999998	"Mendelian
disease"
O00189	8.0	"Mendelian
disease"
P22694	33.0	"Mendelian
disease"
Q14232	23.0	"Mendelian
disease"
Q14376	13.999999999999998	"Mendelian
disease"
Q13367	15.0	"Mendelian
disease"
Q9Y487	30.999999999999996	"Mendelian
disease"
Q9NR45	13.0	"Mendelian
disease"
P07737	17.0	"Mendelian
disease"
P50454	9.0	"Mendelian
disease"
P55263	13.0	"Mendelian
disease"
P15559	6.999999999999999	"Mendelian
disease"
Q9NTZ6	4.0	"Mendelian
disease"
Q92904	2.0	"Mendelian
disease"
O75874	11.999999999999998	"Mendelian
disease"
P63000	108.99999999999999	"Mendelian
disease"
P34949	8.0	"Mendelian
disease"
P25054	39.0	"Mendelian
disease"
Q96B97	38.0	"Mendelian
disease"
O95996	22.0	"Mendelian
disease"
P12955	9.0	"Mendelian
disease"
P10253	9.0	"Mendelian
disease"
P07741	9.0	"Mendelian
disease"
P07195	18.0	"Mendelian
disease"
P16930	16.0	"Mendelian
disease"
Q99497	24.999999999999996	"Mendelian
disease"
P49768	26.0	"Mendelian
disease"
Q5S007	104.0	"Mendelian
disease"
Q9ULV0	13.0	"Mendelian
disease"
Q96CV9	13.999999999999998	"Mendelian
disease"
Q9Y4I1	24.999999999999996	"Mendelian
disease"
P52565	36.0	"Mendelian
disease"
Q5T4F4	8.0	"Mendelian
disease"
P46937	60.0	"Mendelian
disease"
P31150	39.0	"Mendelian
disease"
P49810	17.0	"Mendelian
disease"
P60174	26.0	"Mendelian
disease"
O75083	30.999999999999996	"Mendelian
disease"
O95714	5.0	"Mendelian
disease"
P49411	92.0	"Mendelian
disease"
P24386	21.0	"Mendelian
disease"
P49591	20.0	"Mendelian
disease"
P15153	42.0	"Mendelian
disease"
O94855	6.999999999999999	"Mendelian
disease"
P09417	11.0	"Mendelian
disease"
P60763	42.0	"Mendelian
disease"
O94903	9.0	"Mendelian
disease"
P60953	105.0	"Mendelian
disease"
