protein1	protein2
O60832	Q9GZR7
O60832	Q13610
O60832	A6NHQ2
O60832	P46087
Q8NHQ9	Q9H7B2
Q8NHQ9	Q9GZR7
Q8NHQ9	Q9BZE4
Q8NHQ9	Q9NY93
Q8NHQ9	Q9NVP1
Q9BQI3	P46100
Q9BQI3	O95793
Q9BQI3	Q9H0D6
Q9BQI3	Q96C10
Q9BQI3	Q9NUL3
Q9BQI3	Q16543
Q9BQI3	Q7L2E3
Q9BQI3	Q96PK6
Q9BQI3	Q96HR8
P46100	P45973
P46100	Q9Y5B9
P46100	P84243
P46100	P56524
P46100	P04637
P46100	Q96HR8
P46100	Q08945
P46100	Q14191
P46100	Q99638
P46100	Q96PK6
P46100	P78527
P46100	Q14683
P46100	P49959
P46100	P62805
P46100	P54132
P46100	Q9UQE7
P46100	Q16778
P46100	Q71DI3
P46100	Q9UER7
P46100	Q06609
P46100	O75367
P46100	P68431
P46100	Q99880
P46100	O75083
P46100	P16104
P46100	P04908
P46100	Q96L73
P46100	O96006
O95793	Q1ED39
O95793	Q9NW13
O95793	P19525
O95793	Q96C10
O95793	O43159
O95793	Q96HE9
O95793	P46821
O95793	O75569
O95793	Q49A26
O95793	Q8TDN6
O95793	Q96ME7
O95793	Q9UGY1
O95793	P78563
O95793	Q9UPE1
O95793	P42696
O95793	O15213
O95793	O15226
O95793	Q9HAN9
O95793	Q9H8H2
O95793	Q15397
O95793	Q9NUL3
O95793	Q96SI9
O95793	Q8IY81
O95793	Q96SB4
O95793	Q96A23
Q9H0D6	Q96EB6
Q9H0D6	P19525
Q9H0D6	Q96C10
Q9H0D6	Q9UIA9
Q9H0D6	P62310
Q9H0D6	Q7Z5J4
Q9H0D6	Q9NR30
Q9H0D6	Q9HAU5
Q9H0D6	P49459
Q9H0D6	Q9NQG5
Q9H0D6	Q9H9Z2
Q9H0D6	O77932
Q9H0D6	Q01780
Q9H0D6	Q9BYK8
Q9H0D6	Q96HQ2
Q9H0D6	Q8N187
Q9H0D6	P30876
Q9H0D6	P30837
Q9H0D6	Q96P16
Q9H0D6	O95551
Q9H0D6	Q96B26
Q9H0D6	Q9NXV6
Q96C10	P19525
Q96C10	Q9UPY3
Q96C10	P56537
Q96C10	O14798
Q96C10	Q9NUL3
Q96C10	Q14152
Q96C10	Q7L2E3
Q9NUL3	P19525
Q9NUL3	O75569
Q9NUL3	Q9UL40
Q9NUL3	Q9H9Y2
Q9NUL3	Q96SI9
Q9NUL3	Q9UPY3
Q16543	P50750
Q16543	P06493
Q16543	Q86TB9
Q16543	Q96Q40
Q16543	P50613
Q16543	P11802
Q16543	P31948
Q16543	Q9BYZ6
Q16543	Q00526
Q16543	Q9UET6
Q16543	P19784
Q16543	Q00534
Q7L2E3	P19525
Q7L2E3	O43159
Q7L2E3	Q9P2D0
Q7L2E3	P42696
Q7L2E3	Q13636
Q96PK6	Q96HR8
Q96PK6	P11387
Q96PK6	O94921
Q96HR8	O95900
Q96HR8	Q15025
Q96HR8	Q8WWH5
Q96HR8	P20226
Q96HR8	Q9NPE3
Q96HR8	Q9NX07
Q96HR8	Q9NX24
Q96HR8	Q6PI26
Q9UM22	P01222
P01222	Q9UJW2
Q9HDC9	P27824
Q96EH3	Q8IVS2
Q96EH3	Q9HC36
Q96EH3	Q9NUL7
Q9HC36	Q96CM3
Q9HC36	Q10713
P09105	P02008
P09105	P69905
P09105	P02100
P09105	P68871
P02008	P69891
P02008	P02100
P02008	P68871
P69905	P07339
P69905	P69905
P69905	P29474
P69905	Q9NZD4
P69905	P69891
P69905	P02100
P69905	P00387
P69905	P00738
P69905	P68871
P02100	P69905
P68871	P69905
P68871	P00738
P40199	P31997
Q9BWJ5	Q15459
Q9BWJ5	Q7RTV0
Q9BWJ5	Q92830
Q9BWJ5	P25398
Q9BWJ5	Q9Y3B4
Q9BWJ5	O95777
Q9BWJ5	Q9UK45
Q9BWJ5	Q8NAV1
Q9BWJ5	Q9UPT9
Q9BWJ5	P49756
Q9BWJ5	O14579
Q9BWJ5	Q92831
Q9BWJ5	Q16514
Q9BWJ5	Q9Y2X3
Q9BWJ5	O94906
Q9BWJ5	Q8IZP6
Q9BWJ5	Q7Z2Z2
Q9BWJ5	Q9NX01
Q9BWJ5	P83876
Q9BWJ5	Q96F63
Q9BWJ5	Q9NX24
Q9BWJ5	Q96NC0
Q9BWJ5	Q12962
Q9BWJ5	P62310
Q9BWJ5	Q15393
Q9BWJ5	O43447
Q9BWJ5	O75528
Q9BWJ5	P13639
Q9BWJ5	Q86TJ2
Q9BWJ5	O43290
Q9BWJ5	Q8N136
Q9BWJ5	Q96ES7
Q9BWJ5	Q13435
Q9BWJ5	Q8WWY3
Q9BWJ5	O75533
Q9BWJ5	O94864
Q9BWJ5	Q9Y388
Q9BWJ5	Q9HBM6
Q9BWJ5	Q9BSE5
Q9BWJ5	Q12874
Q9BWJ5	Q8NEM7
Q9BWJ5	O15265
Q9BWJ5	Q9NPA8
Q9BWJ5	O15541
Q9BWJ5	Q13123
Q9BWJ5	Q9Y4Y9
Q9BWJ5	P62424
Q9BWJ5	O75486
Q9BWJ5	Q9ULK2
Q9BWJ5	O00567
Q9BWJ5	Q14CW9
Q9BWJ5	Q8N1I0
Q9BWJ5	Q9Y4Z0
Q9BWJ5	Q96LT9
Q9BWJ5	P62312
Q9BWJ5	P55769
Q9BWJ5	O75554
Q9BWJ5	Q8N5G0
Q9BWJ5	O94842
Q9BWJ5	Q96RP9
Q9BWJ5	A6NNY8
Q9BWJ5	Q96IZ7
Q9BWJ5	Q6UX04
Q9BWJ5	P78345
Q9BWJ5	Q2TAY7
Q9BWJ5	Q96BN2
Q9BWJ5	Q9Y333
Q9BWJ5	Q16594
Q96LT9	Q15459
Q96LT9	Q7RTV0
Q96LT9	O95777
Q96LT9	Q9UK45
Q96LT9	Q8NAV1
Q96LT9	P49756
Q96LT9	O94906
Q96LT9	Q9NX01
Q96LT9	P83876
Q96LT9	Q96NC0
Q96LT9	P62310
Q96LT9	Q15696
Q96LT9	Q15393
Q96LT9	O43447
Q96LT9	O43290
Q96LT9	Q13435
Q96LT9	O75533
Q96LT9	Q9UDW3
Q96LT9	Q12874
Q96LT9	Q9Y333
Q96LT9	Q2TAY7
Q96LT9	P55769
Q96LT9	Q16560
Q96LT9	Q9Y4Y9
Q96LT9	P62312
Q96LT9	Q9Y4Z0
Q96LT9	P78345
Q8IZP6	Q7RTV0
Q8IZP6	Q15393
Q8IZP6	Q13435
Q8IZP6	Q93009
Q8IZP6	O75533
Q8IZP6	Q9Y388
Q8IZP6	Q6UX04
Q9BZL1	P49756
Q9BZL1	Q16082
Q9BZL1	O43290
Q9BZL1	P61088
Q9BZL1	Q9Y388
Q15393	Q15459
Q15393	Q7RTV0
Q15393	P25398
Q15393	Q9Y3B4
Q15393	O95777
Q15393	Q9UK45
Q15393	Q8NAV1
Q15393	P20700
Q15393	P49756
Q15393	O94906
Q15393	Q7Z2Z2
Q15393	Q9NX01
Q15393	P83876
Q15393	Q96F63
Q15393	Q9NX24
Q15393	Q96NC0
Q15393	Q9NQ29
Q15393	P62310
Q15393	Q96ES7
Q15393	Q12874
Q15393	Q9BXP5
Q15393	Q8NEM7
Q15393	O15265
Q15393	Q13813
Q15393	Q13435
Q15393	O15541
Q15393	Q13123
Q15393	Q9Y4Y9
Q15393	P62424
Q15393	O75486
Q15393	Q9ULK2
Q15393	O75533
Q15393	Q9NX07
Q15393	Q8WWY3
Q15393	P02545
Q15393	P53621
Q15393	Q86TJ2
Q15393	A6PVI3
Q15393	Q8N1I0
Q15393	Q9Y4Z0
Q15393	P52298
Q15393	O43447
Q15393	P62312
Q15393	O60232
Q15393	P55769
Q15393	O75554
Q15393	P13639
Q15393	Q96RP9
Q15393	Q8N136
Q15393	O43290
Q15393	Q14683
Q15393	Q9Y388
Q15393	Q96IZ7
Q15393	Q6UX04
Q15393	P78345
Q15393	Q2TAY7
Q15393	Q96BN2
Q15393	Q9Y333
Q15393	O94864
Q15393	O43143
Q15393	Q96GM8
Q13435	Q15459
Q13435	Q7RTV0
Q13435	Q9Y3B4
Q13435	Q02539
Q13435	O95777
Q13435	Q9NZR1
Q13435	P53618
Q13435	Q9UK45
Q13435	P49756
Q13435	P33991
Q13435	O14579
Q13435	O94906
Q13435	Q9NX01
Q13435	P83876
Q13435	Q96F63
Q13435	Q96NC0
Q13435	Q01081
Q13435	Q96N46
Q13435	P06681
Q13435	P62310
Q13435	Q15696
Q13435	O43290
Q13435	Q8N136
Q13435	Q12874
Q13435	Q7Z6W1
Q13435	O15541
Q13435	Q9Y4Y9
Q13435	Q96D03
Q13435	Q8TBK6
Q13435	O75533
Q13435	Q8N5P1
Q13435	Q8WWY3
Q13435	Q70Z53
Q13435	A6PVI3
Q13435	Q9Y4Z0
Q13435	Q96I25
Q13435	P52298
Q13435	P07910
Q13435	P62312
Q13435	P55769
Q13435	Q8N5G0
Q13435	O94842
Q13435	O15164
Q13435	Q9Y388
Q13435	Q6UX04
Q13435	P78345
Q13435	Q9Y333
Q13435	O43143
Q13435	Q96GM8
O15541	Q7RTV0
O15541	Q14498
O15541	O75533
O15541	Q9Y388
O15541	Q93009
O15541	Q13123
O15541	Q96JB8
O15541	Q12906
O15541	Q6UX04
Q9H6R0	Q9H501
Q9H6R0	Q8NI36
Q9H6R0	Q9Y6V7
Q9H6R0	Q96G21
Q9H6R0	O00566
Q9H6R0	Q96BK5
Q9H6R0	Q8IY37
Q9H6R0	Q9NQZ2
Q9H6R0	Q68CQ4
Q9H6R0	P45984
Q9H6R0	Q9H6R4
Q9H6R0	Q9BVJ6
Q9H6R0	Q13601
Q9H6R0	Q9P275
Q9H6R0	O43818
Q9H6R0	Q9Y5J1
Q9H6R0	O43143
Q9H6R0	Q9NYH9
Q9H6R0	Q13895
Q9H6R0	Q5TAP6
Q9H6R0	Q5C9Z4
Q9H6R0	P78316
Q9H6R0	Q15061
Q9H6R0	Q8NEJ9
P49756	Q15459
P49756	Q7RTV0
P49756	Q13242
P49756	Q13247
P49756	P09234
P49756	O95777
P49756	Q9UK45
P49756	Q14498
P49756	Q07955
P49756	Q8N5F7
P49756	O95232
P49756	P52272
P49756	Q09161
P49756	Q86UA1
P49756	Q86U06
P49756	Q9UQ88
P49756	Q9Y383
P49756	Q8WWY3
P49756	P31483
P49756	A6PVI3
P49756	O94906
P49756	Q13243
P49756	P52298
P49756	Q9UDW3
P49756	P62312
P49756	O75916
P49756	P62310
P49756	Q8N136
P49756	Q9H0L4
P49756	P33240
P49756	Q9Y388
P49756	Q9NQ29
P49756	Q9Y312
P49756	Q9Y333
P49756	Q9UHX1
P49756	Q12874
P49756	Q9NWB6
P49756	Q9BTA9
P49756	P83876
P49756	Q9Y4Y9
P49756	Q16560
P49756	O75533
P49756	Q08170
P49756	Q9NX01
P49756	Q96NC0
P49756	Q9Y4Z0
P49756	P55769
P49756	O43290
P49756	P08621
P49756	Q01085
P49756	P78345
Q86SE5	Q9H307
Q86SE5	Q9UKM9
Q86SE5	Q9NVV9
Q86SE5	Q6B0B8
Q86SE5	P0DMR1
Q86SE5	B7ZW38
Q86SE5	P07910
O75533	Q15459
O75533	Q7RTV0
O75533	P25398
O75533	Q9Y3B4
O75533	O95777
O75533	P53618
O75533	Q9UK45
O75533	Q8NAV1
O75533	P33991
O75533	P52907
O75533	P48444
O75533	Q9Y2X3
O75533	P49736
O75533	O94906
O75533	Q7Z2Z2
O75533	Q9NX01
O75533	P83876
O75533	Q96F63
O75533	Q9NX24
O75533	Q96NC0
O75533	P62310
O75533	Q15696
O75533	O43447
O75533	P33993
O75533	P13639
O75533	O43290
O75533	Q8N136
O75533	Q8WWY3
O75533	P52298
O75533	P62424
O75533	Q9NX07
O75533	O00567
O75533	P53621
O75533	A6PVI3
O75533	P62312
O75533	Q96RP9
O75533	Q9Y388
O75533	Q96IZ7
O75533	Q9Y333
O75533	O43143
O75533	Q9UHX1
O75533	Q12874
O75533	O43719
O75533	Q13123
O75533	Q9Y4Y9
O75533	P08865
O75533	Q8N1I0
O75533	Q9Y4Z0
O75533	Q96I25
O75533	P62995
O75533	P52292
O75533	P55769
O75533	O75554
O75533	Q86XP3
O75533	Q6UX04
O75533	P78345
O75533	Q2TAY7
O75533	P61923
P13639	Q7RTV0
P13639	O14965
P13639	Q05639
P13639	P17844
P13639	P25398
P13639	P31939
P13639	Q9UK97
P13639	O95777
P13639	Q9UK45
P13639	Q9BQC3
P13639	Q04721
P13639	Q8NAV1
P13639	P55060
P13639	Q9BZG8
P13639	O94906
P13639	P61927
P13639	Q96NC0
P13639	O15438
P13639	O15144
P13639	Q96EH5
P13639	Q96L21
P13639	P62310
P13639	P62891
P13639	P18124
P13639	P62424
P13639	Q8TEX9
P13639	Q6DKI1
P13639	P15170
P13639	Q96G04
P13639	Q96IZ7
P13639	P68104
P13639	P10599
P13639	P27635
P13639	Q9BTY7
P13639	P07437
P13639	P08865
P13639	Q8NC51
P13639	P42574
P13639	Q8N1I0
P13639	Q92900
P13639	Q9Y4Z0
P13639	Q9NPH2
P13639	Q6W5P4
P13639	P60866
P13639	P29317
P13639	Q2TAY7
Q96RP9	Q7RTV0
Q96RP9	O95777
Q96RP9	Q9UK45
Q96RP9	Q8NAV1
Q96RP9	O94906
Q96RP9	Q96NC0
Q96RP9	P62310
Q96RP9	Q2TAY7
Q96RP9	Q9Y4Z0
Q9BUJ2	Q13242
Q9BUJ2	P09234
Q9BUJ2	Q14151
Q9BUJ2	O75340
Q9BUJ2	P31942
Q9BUJ2	Q1KMD3
Q9BUJ2	Q15907
Q9BUJ2	P31943
Q9BUJ2	P38159
Q9BUJ2	P55795
Q9BUJ2	Q15637
Q9BUJ2	Q8IZ96
Q9BUJ2	Q16637
Q9BUJ2	O43670
Q9BUJ2	Q15424
Q9BUJ2	P52597
Q9BUJ2	Q99873
O43290	Q15459
O43290	Q7RTV0
O43290	O95777
O43290	Q9UK45
O43290	Q8NAV1
O43290	Q9BTD8
O43290	Q9P2K8
O43290	Q9Y2X3
O43290	P53999
O43290	O94906
O43290	Q9NX01
O43290	P83876
O43290	Q96NC0
O43290	Q01081
O43290	P62310
O43290	O95400
O43290	O43447
O43290	O95232
O43290	Q8IWX8
O43290	Q09161
O43290	Q86UA1
O43290	Q9HD15
O43290	Q9NX07
O43290	Q92845
O43290	Q8WWY3
O43290	P62312
O43290	Q8N136
O43290	Q96SB4
O43290	Q9Y2W1
O43290	Q9Y388
O43290	Q9Y333
O43290	O43143
O43290	Q12874
O43290	Q13123
O43290	Q16629
O43290	Q9Y4Y9
O43290	Q8TBK6
O43290	Q08170
O43290	Q9UBB9
O43290	Q9Y4Z0
O43290	Q9UDV7
O43290	P55769
O43290	O75554
O43290	Q9BUQ8
O43290	P08621
O43290	P78345
O43290	Q2TAY7
Q7RTV0	Q15459
Q7RTV0	O95777
Q7RTV0	Q12874
Q7RTV0	Q9Y3B4
Q7RTV0	P83876
Q7RTV0	Q13123
Q7RTV0	Q9Y4Y9
Q7RTV0	P62424
Q7RTV0	O00567
Q7RTV0	Q8WWY3
Q7RTV0	Q9NX24
Q7RTV0	Q9NX01
Q7RTV0	Q8N1I0
Q7RTV0	Q96NC0
Q7RTV0	O94906
Q7RTV0	Q9Y4Z0
Q7RTV0	Q9Y2X3
Q7RTV0	P32780
Q7RTV0	O43447
Q7RTV0	P62312
Q7RTV0	P55769
Q7RTV0	O75554
Q7RTV0	P25398
Q7RTV0	P62310
Q7RTV0	Q9BUQ8
Q7RTV0	Q8N136
Q7RTV0	Q9Y388
Q7RTV0	Q7Z2Z2
Q7RTV0	Q96IZ7
Q7RTV0	Q9UK45
Q7RTV0	Q6UX04
Q7RTV0	P78345
Q7RTV0	Q8NAV1
Q7RTV0	Q2TAY7
Q7RTV0	Q9Y333
Q9Y388	Q5VWQ0
Q9Y388	A7MD48
Q9Y388	Q9BU76
Q9Y388	Q8N9E0
Q9Y388	Q8N5F7
Q9Y388	P35367
Q9Y388	Q6UX04
Q9Y388	Q96ME7
O43251	Q15459
O43251	P17844
O43251	P09234
O43251	Q9BTD8
O43251	Q07666
O43251	Q9H0Z9
O43251	P31943
O43251	P26599
O43251	Q86U06
O43251	Q96PU8
O43251	P55795
O43251	P61978
O43251	Q9BX46
O43251	Q16637
O43251	Q15717
O43251	P52597
Q7Z2Z2	P42285
Q7Z2Z2	Q9Y3A5
Q7Z2Z2	O95777
Q7Z2Z2	Q9UK45
Q7Z2Z2	Q8NAV1
Q7Z2Z2	O94906
Q7Z2Z2	Q96NC0
Q7Z2Z2	Q9Y4Z0
Q7Z2Z2	Q8N8A6
Q7Z2Z2	P62310
Q7Z2Z2	Q2TAY7
Q6UX04	P42285
Q6UX04	P78527
Q6UX04	Q70Z53
Q6UX04	Q9Y333
Q6UX04	P62312
Q6UX04	Q13426
Q9H5Z1	Q09161
Q9H5Z1	Q99633
Q9H5Z1	O43143
Q99633	O43447
Q8IX18	Q7L775
P37059	Q5VZF2
Q5VZF2	Q01085
Q5VZF2	Q9NR56
O43264	Q9H900
O43264	A2RRP1
O43264	Q9Y6D9
O43264	P50748
O43264	Q8WU76
O43264	Q13561
O43264	Q9P2W9
O43264	Q9NZ43
O43264	O75396
O43264	O75379
O43264	Q6NUQ1
Q9H900	Q16181
Q9H900	P50748
Q9H900	Q92599
A2RRP1	O75379
A2RRP1	Q6NUQ1
A2RRP1	Q9NZ43
A2RRP1	Q99747
A2RRP1	Q8WU76
A2RRP1	Q9P2W9
A2RRP1	O75396
Q9Y6D9	Q13416
Q9Y6D9	P52732
Q9Y6D9	O14777
Q9Y6D9	Q02224
Q9Y6D9	P12270
Q9Y6D9	P33981
Q9Y6D9	O43670
Q8WU76	Q12981
Q8WU76	O75379
Q8WU76	Q6NUQ1
Q8WU76	Q9NZ43
Q8WU76	Q9P2W9
Q8WU76	Q99747
Q8WU76	O75396
Q8WU76	Q9UFG5
Q13561	O00399
Q13561	P22460
Q13561	Q9NZ32
Q13561	O43237
Q13561	Q96JB2
Q13561	O75935
Q13561	P33991
Q13561	Q1MSJ5
Q13561	P52907
Q13561	Q9NVT9
Q13561	P42025
Q13561	Q9NYP9
Q13561	P68032
Q13561	Q8IWG1
Q13561	Q9BTE1
Q13561	P33993
Q13561	O14576
Q13561	Q9NPQ8
Q13561	P34897
Q13561	Q86WX3
Q13561	Q14204
Q13561	Q8TD16
Q13561	Q9NP97
Q13561	P47755
Q13561	P68133
Q13561	P24522
Q13561	Q96EX3
Q13561	Q9H1M4
Q13561	Q9GZP0
Q13561	Q13409
Q13561	Q6ZP65
Q13561	Q8WVS4
Q13561	Q8NI22
Q13561	P63267
Q13561	P0CG39
Q13561	Q3KP66
Q13561	P0CG38
Q13561	Q9GZS0
Q13561	Q6S8J3
Q13561	O95198
Q13561	P63261
Q13561	Q9UJW0
Q9P2W9	O95721
Q9P2W9	O15155
Q9P2W9	Q12981
Q9P2W9	O75379
Q9P2W9	Q6NUQ1
Q9P2W9	Q9BV40
Q9P2W9	Q9NZ43
Q9P2W9	Q13190
Q9P2W9	Q5QGZ9
Q9P2W9	Q8WVM8
Q9P2W9	O75396
Q9NZ43	O15498
Q9NZ43	Q9Y3E0
Q9NZ43	Q12981
Q9NZ43	O75379
Q9NZ43	Q6NUQ1
Q9NZ43	P54920
Q9NZ43	Q8WVM8
Q9NZ43	Q9UFG5
Q9NZ43	A2RUC4
Q9NZ43	Q13190
Q9NZ43	O75396
O75396	P61266
O75396	O15155
O75396	Q16623
O75396	O15498
O75396	O14653
O75396	O95249
O75396	Q9Y3E0
O75396	Q12981
O75396	O75379
O75396	P61081
O75396	Q6NUQ1
O75396	P18887
O75396	P54920
O75396	Q13190
O75396	P49755
O75396	Q15436
O75396	Q99747
O75396	Q15437
O75396	A5PLL7
O75396	P25325
O75396	O95486
O75396	Q8NBM4
O75396	Q16762
O75396	Q8WVM8
O75396	Q9UFG5
O75396	O60499
O75379	P61266
O75379	O95721
O75379	Q16623
O75379	O15498
O75379	O14653
O75379	O95249
O75379	Q12981
O75379	O60499
O75379	O75558
O75379	Q8WVM8
O75379	P54920
O75379	Q99747
O75379	Q5QGZ9
O75379	P60880
O75379	Q13190
Q6NUQ1	Q12981
Q6NUQ1	Q9UFG5
Q6NUQ1	Q92878
Q6NUQ1	P35606
Q6NUQ1	P54920
Q05397	O43281
Q05397	O75925
Q05397	P78396
Q05397	P06756
Q05397	P09619
Q05397	P35916
Q05397	P40763
Q05397	Q12770
Q05397	P21860
Q05397	P04637
Q05397	P17948
Q05397	P46108
Q05397	O43294
Q05397	Q14451
Q05397	Q9BX66
Q05397	Q9Y2X7
Q05397	P56945
Q05397	P60484
Q05397	P50570
Q05397	P05106
Q05397	Q14188
Q05397	Q14511
Q05397	O60711
Q05397	P05107
Q05397	Q9ULH1
Q05397	P42224
Q05397	O14508
Q05397	P46109
Q05397	Q9Y3E5
Q05397	P51813
Q05397	O60674
Q05397	Q13976
Q05397	P29323
Q05397	Q9NP31
Q05397	P29317
Q05397	P09769
Q05397	Q13464
P08581	P14210
P08581	P35968
P08581	P40763
P08581	P21860
P08581	Q96JA1
P08581	O15357
P08581	P46108
P08581	P42574
P08581	O43157
P08581	O14964
P08581	Q12913
P08581	P18031
P08581	P23467
P08581	P29353
P08581	Q8N307
P08581	O15524
P08581	Q86VI4
P08581	P27986
P17252	P14151
P17252	Q02539
P17252	P20700
P17252	P30679
P17252	Q03113
P17252	P17302
P17252	Q02156
P17252	P41594
P17252	Q13541
P17252	P09429
P17252	Q9BYM8
P17252	Q14831
P17252	Q13255
P17252	O60825
P17252	P02545
P17252	Q8NI35
P17252	P31431
P17252	P61764
P17252	P16118
P17252	P15924
P17252	P24588
P17252	P02686
P17252	Q9NRD5
P17252	Q8WXR4
P17252	P11388
P17252	Q9NSE2
P17252	Q15349
P17252	P41180
P23229	P10321
P29353	O00459
P29353	Q99704
P29353	Q05209
P29353	P09619
P29353	P35916
P29353	P29376
P29353	P35968
P29353	P26010
P29353	P21860
P29353	P46940
P29353	P17948
P29353	P07333
P29353	Q04912
P29353	O15357
P29353	P46108
P29353	P30530
P29353	Q12972
P29353	Q8WZ73
P29353	P42229
P29353	Q15303
P29353	P29317
P29353	P37173
P29353	P20963
P29353	Q01973
P29353	P61764
P29353	O15146
P29353	Q01974
P29353	Q02763
P29353	O60674
P29353	Q38SD2
P29353	Q9UM73
P29353	P05107
P29353	Q14451
P29353	P05106
P29353	Q8TC17
P29353	P27986
P50479	P48728
Q07866	Q9UQF2
Q07866	Q9UPT6
Q07866	Q9NSK0
Q07866	O60271
Q07866	Q63HQ0
Q07866	P33176
Q07866	Q8N205
Q07866	O60296
Q07866	Q13387
Q07866	O14977
Q07866	Q9Y664
Q07866	Q9BVN2
Q07866	O95295
Q07866	O94985
Q07866	Q6P597
Q07866	P12524
Q07866	Q86WG3
Q07866	O60282
Q07866	Q9UGI9
Q07866	Q9Y2V7
Q07866	Q9H0B6
Q07866	Q12840
Q12923	P98172
Q12923	P40763
Q12923	P60484
Q12923	Q9NPI1
O95155	Q9Y2X8
O95155	O75312
O95155	O75351
O95155	Q01831
O95155	Q93008
O95155	Q8N5M4
O95155	Q5VVQ6
O95155	O14964
O95155	Q13404
O95155	O75436
O95155	Q96K21
O95155	Q9H3M9
O95155	Q99615
O95155	P50225
O95155	P15374
O95155	Q14669
O95155	P61960
O95155	Q9UNZ2
O95155	Q70CQ2
O95155	Q16864
O95155	P61077
O95155	P33981
O95155	P62837
O95155	O95218
O95155	Q9Y263
O95155	O00762
O95155	Q5JVF3
O95155	P51668
Q14166	Q16864
Q14166	Q93008
Q14166	P25685
Q14166	Q9C0B0
Q14166	Q99614
Q14166	Q05639
Q14166	Q15942
Q14166	O95218
Q14166	O00762
Q14166	O75351
Q14166	Q9BYN0
Q14166	Q15819
Q14166	O43865
Q14166	P61960
Q14166	O60232
Q14166	P63146
Q14166	Q70CQ2
Q14166	Q9BVG4
Q14166	Q8N5M4
Q14166	Q8WVE0
Q14166	P51668
Q14166	P68104
Q14166	Q9UDY4
P50225	O00204
P50225	O75312
P50225	Q99614
P50225	O60232
P50225	Q9BUF5
P50225	O00338
P50225	Q9BR01
P50225	Q96K21
P50225	O43865
P50225	O95218
P50225	O76070
P50225	Q92783
P50225	P15374
P50225	P07951
P50225	Q9BYN0
P50225	P0DMM9
P50225	P50226
P50225	Q6YHU6
P50225	Q93045
P50225	P46937
P50225	Q70CQ2
P61960	O75312
P61960	Q99614
P61960	P40121
P61960	Q9NUQ7
P61960	Q96DH6
P61960	Q04323
P61960	Q9UBQ7
P61960	Q93008
P61960	Q01581
P61960	P40926
P61960	A6NGG8
P61960	Q9H2U2
P61960	Q96K21
P61960	P21291
P61960	Q9Y3C8
P61960	P51668
P61960	P10768
P61960	Q92597
P61960	P22234
P61960	P11413
P61960	Q15819
P61960	P46937
P61960	Q6NVU6
P61960	Q70CQ2
Q8N8S7	P07737
Q8N8S7	Q9P2A4
Q8N8S7	P35080
Q8N8S7	P50552
Q8N8S7	Q8WZ75
Q8N8S7	Q70E73
Q8N8S7	Q15942
Q8N8S7	Q9Y615
Q8N8S7	Q9UGI8
Q8N8S7	Q8IZP0
Q8N8S7	Q9NQX3
Q8N8S7	Q9UI08
Q8N8S7	P63172
Q8N8S7	O00213
Q8N8S7	Q96NY8
O60603	Q8IUC6
O60603	P09429
O60603	Q9Y6Y9
O60603	Q9Y2C9
O60603	Q15399
Q9Y2K2	P57059
Q14160	O60346
Q14160	Q09019
Q14160	Q6NT16
Q14160	Q9Y2X7
Q9C0B0	Q9UI95
Q9C0B0	Q9H6Z9
Q9C0B0	P63146
Q9C0B0	Q9BPZ7
Q9C0B0	Q92600
Q9C0B0	Q04323
Q9C0B0	Q8N122
Q9C0B0	P04818
Q9C0B0	Q93008
Q9C0B0	Q96K21
Q9C0B0	A0MZ66
Q9C0B0	O00762
Q9C0B0	P55771
Q9C0B0	Q9GZT9
Q9C0B0	Q9NP79
Q9C0B0	Q9UBI9
Q9C0B0	Q9Y3C8
Q9C0B0	O95218
Q9C0B0	P49459
Q9C0B0	P51668
Q9C0B0	P15374
Q9C0B0	Q9BYN0
Q9C0B0	P15863
Q9C0B0	Q70CQ2
Q9C0B0	Q16864
Q9C0B0	Q96KS0
Q9C0B0	P46937
Q99614	Q04323
Q99614	Q9UHD9
Q99614	Q96K21
Q99614	Q9UHQ9
Q99614	O95218
Q99614	Q9BYN0
Q99614	P15374
Q99614	O60232
Q99614	Q03154
Q99614	P63146
Q9Y490	P18206
Q9Y490	P61224
Q9Y490	P08514
Q9Y490	P26010
Q9Y490	P56199
Q9Y490	P08648
Q9Y490	P35221
Q9Y490	Q9UI47
Q9Y490	P26232
Q9Y490	Q7Z5R6
Q9Y490	P05106
Q9Y490	Q9UBT7
Q9Y490	P05107
Q9Y490	Q70E73
Q9Y490	P22314
Q9Y490	Q96D46
Q9Y490	Q9H4X1
Q9Y490	Q9NUQ3
Q9Y490	P62834
Q9Y490	Q6UX15
P31948	O95433
P31948	P04406
P31948	Q8IWD4
P31948	P53396
P31948	P25685
P31948	Q08752
P31948	O60884
P31948	Q6EEV6
P31948	Q92598
P31948	P16949
P31948	P12270
P31948	P48163
P31948	Q15717
P31948	P54652
P31948	Q0VDF9
P31948	P34931
P31948	P0DMV9
P31948	Q7L3B6
P31948	Q9UDY4
O00762	P63146
O00762	P21281
O00762	Q04323
O00762	Q8IW45
O00762	O60232
O00762	P04818
O00762	Q93008
O00762	Q8N5M4
O00762	P22314
O00762	Q13404
O00762	Q96K21
O00762	Q8NHZ8
O00762	Q9UM11
O00762	Q70CQ2
O00762	O95486
O00762	Q16864
O00762	P61077
O00762	Q9UM13
O00762	O95218
O00762	O43865
O00762	P46937
O00762	Q7Z6J8
O00762	P37802
