protein1	protein2
P61020	Q15276
P61020	Q9UJ41
P61020	Q8WUD1
P61020	P31150
P61020	P15924
P61020	P62834
Q15438	P36406
Q15438	P61204
Q15438	O60759
Q15438	P62330
Q15438	P18085
Q15438	Q8IVW1
Q15438	Q9GZZ9
Q15438	Q9NXU5
P53367	P49591
P53367	P15153
P53367	Q9NZL4
P53367	P61204
P53367	P54578
P53367	P40616
P53367	O14530
P53367	O94855
P53367	P09417
P53367	P60763
P53367	O75347
P53367	Q8N8L6
P53367	Q16555
P53367	P34896
P53367	O75608
P53367	Q96EY5
P53367	O94903
P53367	P63000
P53367	P30520
P53367	P14550
P53367	Q92506
P53367	P22102
P53367	P11413
P53367	Q0P5N6
P53367	P60953
P53367	Q13630
P53367	O00244
P53367	O75369
P53367	P68402
Q86YS3	P62330
Q86YS3	Q15907
Q86YS3	P57735
Q86YS3	Q9UBK7
Q86YS3	Q9UNT1
O00203	Q9UQ88
O00203	Q96CW1
O00203	Q15811
O00203	Q9Y2T2
O00203	P53677
O00203	Q8IVW1
O00203	Q8NEU8
O00203	Q13315
O00203	P59780
O00203	P61204
O00203	Q9UKG1
O00203	Q9NZM3
O00203	Q9H9G7
O00203	P62330
O00203	Q92572
O00203	O14976
O00203	P36575
O00203	Q13535
O00203	Q6P1J9
O00203	P32121
Q99755	P43686
Q99755	P25787
Q99755	P62191
Q99755	O14939
Q99755	P62330
Q99755	P62195
Q99755	Q9Y490
Q99755	Q13393
Q99755	P54727
Q99755	P35998
Q99755	Q9Y4G6
Q99755	P25786
Q99755	O60331
Q99755	P54725
Q99755	P17980
Q99755	Q9Y6B7
Q99755	O00487
P07864	P60174
P07864	Q8N336
P07864	P18085
P07864	Q9H0U4
P07864	P61088
P07864	P37837
P07864	P22392
P07864	P07195
P07864	O75083
P07864	P40925
Q96CS3	Q9GZP9
Q96CS3	Q9NS69
Q96CS3	P06733
Q96CS3	Q9ULI0
Q96CS3	P25685
Q96CS3	P61204
Q96CS3	Q9BUN8
Q96CS3	Q86VP6
Q96CS3	Q8TAT6
Q96CS3	Q01813
Q96CS3	Q92616
Q96CS3	P51149
Q96CS3	Q9NWR8
Q96CS3	P55060
Q96CS3	P06576
Q96CS3	P50454
Q96CS3	P63267
Q96CS3	Q9UKV5
Q96CS3	Q9BSJ8
Q96CS3	Q9BYW2
Q96CS3	Q9BVQ7
Q96CS3	O75477
Q96CS3	P55072
Q96CS3	Q9P2J5
Q96CS3	Q9BTV4
Q96CS3	Q15041
Q96CS3	P22695
Q96CS3	Q13438
Q96CS3	Q96P70
Q96CS3	P05783
Q96CS3	P05787
Q96CS3	P04181
Q96CS3	P14625
Q96CS3	Q9BVK6
Q96CS3	Q9UHD9
Q96CS3	P11441
Q96CS3	P00403
Q96CS3	O95292
Q96CS3	Q92890
Q96CS3	Q13616
Q96CS3	Q16553
Q96CS3	P50402
Q96CS3	O96008
Q96CS3	Q9UBE0
Q96CS3	Q92995
Q96CS3	P11413
Q96CS3	P49736
Q96CS3	Q9Y263
Q96CS3	P17858
Q96CS3	P40855
Q96CS3	P68363
Q96CS3	O96011
Q96CS3	P28288
Q96CS3	Q9BQE4
Q96CS3	P63261
Q96CS3	P78527
Q96CS3	Q8NBM4
Q96CS3	Q71U36
Q96CS3	Q8NB90
Q96CS3	Q9Y277
Q96CS3	P13073
Q96CS3	Q16665
Q96CS3	Q9UBV2
Q96CS3	P51151
Q96CS3	P55786
P13804	Q9HDC9
P13804	P07339
P13804	O00148
P13804	Q9BXT4
P13804	Q8TEM1
P13804	Q9NVJ2
P13804	Q16719
P13804	Q9NRW1
P13804	P20340
P13804	O15382
P13804	P38117
P13804	Q86X76
P13804	P30085
P13804	Q9UBV8
P13804	P30837
P13804	Q6IPR1
P13804	Q13838
P13804	P25705
P13804	Q8NBN7
P13804	Q96I99
P13804	Q6P1X6
P13804	Q14376
P13804	Q16836
P13804	O14561
O43747	Q9Y478
O43747	Q9Y2T3
O43747	Q6ULP2
O43747	Q9Y6Q5
O43747	P61204
O43747	Q6PD74
O43747	P08247
O43747	P53680
O43747	Q96C86
O43747	Q96CW1
O43747	P62330
O43747	P18085
O43747	P61966
O43747	Q8IVW1
O43747	P22314
O43747	P11717
O43747	P42566
O43747	P61106
O43747	Q9BXS5
O43747	Q96PC3
O43747	Q9UMZ2
O43747	Q9NVZ3
O43747	O75369
O43747	A0JP26
O43747	O75170
P20645	Q7Z5A9
Q02790	Q00613
Q02790	P04150
Q02790	P10636
Q02790	P23297
Q02790	Q92990
Q02790	P07332
Q02790	P06703
Q02790	P68400
Q02790	P34932
Q02790	P07900
Q02790	P08238
Q02790	O43524
Q02790	P42345
Q02790	Q9Y478
Q00613	P28482
Q00613	P68400
Q00613	P49840
Q00613	Q9Y3C0
Q00613	P25685
Q00613	Q9NZL4
Q00613	Q92793
Q00613	P27361
Q00613	Q04759
Q00613	Q09472
Q00613	P62258
Q00613	O95429
Q00613	P34932
Q00613	P07900
Q00613	Q03933
Q00613	P08238
Q00613	Q13547
Q00613	P0DMV8
Q00613	P34931
Q00613	P20226
Q00613	P63165
Q00613	O75506
Q00613	P51532
Q00613	P55854
Q00613	Q92769
Q00613	Q13451
Q00613	P11142
P04150	Q9UNE7
P04150	Q969H0
P04150	P48552
P04150	O43294
P04150	Q3L8U1
P04150	Q71SY5
P04150	P00533
P04150	P63165
P04150	O75376
P04150	P68036
P04150	Q7L5N1
P04150	Q15788
P04150	P04049
P04150	P0DMV8
P04150	Q13263
P04150	Q13772
P04150	Q9Y618
P04150	P05412
P04150	Q9Y3R0
P04150	Q92793
P04150	P07900
P04150	P08238
P04150	Q9Y6Q9
P04150	Q9UBK2
P04150	Q16620
P04150	Q09472
P04150	P52292
P04150	P63279
P04150	P31749
P04150	Q15648
P04150	Q00987
P04150	P51532
P04150	Q15596
P04150	P10276
P04150	P51531
P10636	Q9UNE7
P10636	P68366
P10636	P51817
P10636	Q96L34
P10636	P62258
P10636	P04271
P10636	Q71U36
P10636	Q9BQE3
P10636	P17612
P10636	O00499
P10636	Q6PEY2
P10636	Q13509
P10636	P48730
P10636	P0DPH8
P10636	Q9UBN7
P10636	P68363
P10636	P10644
P10636	P0CG48
P10636	Q13451
P10636	P0DMV8
P10636	Q7KZI7
P10636	P27348
P10636	P22612
P10636	Q13885
P10636	P63104
P10636	Q9NY61
P10636	P31946
P10636	P11142
P10636	P22694
P10636	P0DPH7
P10636	P0DMV9
P10636	P0DP23
P23297	P30414
P23297	Q12931
P23297	O75344
P23297	Q13427
P23297	P04271
P23297	P33764
P23297	Q8IXY8
P23297	P26447
P23297	Q8WXG8
P23297	Q9BXM0
P23297	P07900
P23297	P29034
P23297	P08238
P23297	P11142
P23297	Q09666
P23297	Q13451
P23297	P34931
P23297	P25815
P23297	P0DMV8
P23297	Q08752
P23297	P0DMV9
P23297	P54652
P23297	Q14318
Q92990	P62877
Q92990	Q13489
Q92990	Q13490
P07332	P40763
P07332	P34932
P07332	Q08752
P07332	Q13451
P07332	Q9UIW2
P07332	P52333
P07332	P07900
P07332	P23458
P07332	P27986
P06703	Q9BUK0
P06703	Q9HB71
P06703	Q9NQG1
P06703	B3EWG6
P06703	Q13451
P06703	P61960
P06703	O95486
P06703	Q15109
P68400	O14641
P68400	Q96EB6
P68400	P49427
P68400	P28482
P68400	Q9Y5B9
P68400	Q00688
P68400	P55010
P68400	P25963
P68400	Q8N5F7
P68400	O60282
P68400	P27540
P68400	O14503
P68400	Q96HZ4
P68400	Q15276
P68400	P25054
P68400	P63272
P68400	Q9UEE9
P68400	P11388
P68400	O00267
P68400	Q9UQ88
P68400	O15379
P68400	O00303
P68400	Q14995
P68400	P08047
P68400	Q96ST3
P68400	Q92769
P68400	P16383
P68400	P09629
P68400	Q12972
P68400	Q6RI45
P68400	O14640
P68400	Q6PD62
P68400	Q8N7H5
P68400	Q9Y2Z0
P68400	Q99733
P68400	P19784
P68400	O14757
P68400	P20042
P68400	Q8WVC0
P68400	P30305
P68400	P18146
P68400	Q16543
P68400	Q13547
P68400	Q9Y5J1
P68400	Q86SE9
P68400	Q96IZ7
P68400	Q9NQB0
P68400	P14625
P68400	Q92541
P68400	Q08945
P68400	P42696
